,Institution Name,19-20,18-19,17-18,16-17,15-16,14-15,13-14,12-13,11-12,10-11,09-10,08-09,07-08,06-07,05-06,04-05,03-04,02-03
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,,,,,,,,,
1,Arizona State University Campus Immersion,958.682,922.103,720.565,665.488,612.59,643.188,625.833,552.789,500.667,514.724,441.258,407.889,493.586,474.356,85.085,74.776,69.682,61.75
2,Arizona State University Digital Immersion,,,,,,,,,,,,,,,,,,
3,Arizona State University-Downtown Phoenix,,,,,,,,,,,,,,0.0,0.0,,,
4,Arkansas State University,82.311424,80.690954,76.07703,64.868924,54.104979,54.168377,46.041385,42.838381,39.768374,10.650159,9.642516,8.745373,11.431229,,,9.52239,8.096301,7.147639
5,Auburn University,784.621493,774.534709,771.403829,728.995077,657.564107,583.048737,593.270763,526.128048,458.906091,412.740663,410.583892,362.07889,365.224861,450.973253,378.570463,354.378773,288.453211,252.255457
6,Ball State University,213.227079,213.071,214.258093,201.810618,182.374599,192.694012,192.109587,171.6503,162.212335,159.198899,137.803906,122.570081,2.820802,2.655022,2.450288,2.298423,2.310678,2.312669
7,Binghamton University,115.72868,117.321337,110.656967,109.341967,93.401009,96.512436,84.181579,73.902084,61.991587,64.08556,63.071835,57.950863,37.105672,39.540066,30.614919,27.567954,25.813422,
8,Boise State University,117.222395,118.157355,111.337372,101.866021,92.468882,93.504993,93.288489,83.0044,75.334245,75.609926,63.895842,56.395402,76.610009,76.75312,64.763213,50.579041,46.183157,
9,Bowling Green State University-Main Campus,183.401607,175.172789,162.28722,156.025699,146.737313,156.027701,188.891965,168.00721,166.185615,179.127658,153.443962,140.693031,201.688392,79.264516,70.281665,64.280276,58.144412,51.165271
10,Central Michigan University,187.79651,189.321756,181.973093,156.422723,130.694949,,108.042439,92.408908,81.215884,85.467946,66.786248,58.136653,77.009177,82.30375,68.042725,58.894056,52.466633,42.7194
11,Clemson University,770.924097,774.514047,741.801924,682.736211,621.293558,859.081997,836.151997,518.605638,171.845363,164.834619,138.196889,115.894402,137.460608,136.660779,97.622117,92.6806,81.1352,68.214416
12,Cleveland State University,91.754752,7.427103,7.583481,7.436095,6.836793,7.40308,7.626068,7.441212,6.473553,6.605607,5.564846,4.911414,6.040906,6.457895,6.373424,6.650748,2.339224,2.155495
13,Colorado School of Mines,255.678903,251.645349,258.134462,246.148203,212.30227,234.189817,231.605058,230.84,204.0,196.0,166.0,148.0,164.999,175.022,155.072,139.361,0.0,0.0
14,Colorado State University-Fort Collins,410.081225,391.855507,371.153804,344.327456,299.918027,294.472759,297.089069,259.082704,237.940852,234.705684,189.780869,160.851402,195.123798,196.675727,161.316605,145.086829,133.528513,113.394457
15,CUNY City College,318.365123,320.345295,309.144884,288.996475,259.110318,262.374746,264.608948,215.349296,196.775707,190.419723,138.005557,119.857242,131.554698,103.970447,44.049,36.58,33.814,27.572
16,CUNY Graduate School and University Center,96.654846,95.01593,69.592749,58.133916,52.770952,51.168913,59.513255,48.249378,39.648525,38.800424,33.900571,40.441918,47.082022,37.833077,7.191,0.0,6.666,6.005
17,Delaware State University,26.148753,22.273696,30.885323,28.649605,25.784651,22.611554,22.620492,19.308751,17.444927,18.942446,15.603646,15.767318,19.198177,20.774901,17.814792,13.760424,15.724924,13.790497
18,East Carolina University,211.970842,212.565873,200.769617,185.811057,166.731929,170.01475,165.724193,144.701141,128.749,130.499,98.981025,87.152,95.041,90.425,79.002,69.842,65.729,58.103
19,East Tennessee State University,130.080301,127.683901,122.862162,114.301878,109.731272,113.292339,115.077522,105.331701,100.111731,96.822217,79.185878,55.070369,64.478161,64.900614,53.975762,46.442699,32.769289,28.65046
20,Eastern Michigan University,76.380757,78.392755,76.284216,72.596534,66.890397,65.695105,67.190127,58.044421,51.413003,54.360621,45.298769,43.14391,55.349252,56.792919,50.664915,45.537016,42.402,36.86
