,Institution Name,19-20,18-19,17-18,16-17,15-16,14-15,13-14,12-13,11-12,10-11,09-10,08-09,07-08,06-07,05-06
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,,,,,,
1,Arizona State University Campus Immersion,12979.894122584925,18139.850097377686,14401.219146597381,13124.70170594616,12276.106691248673,13458.068295949113,13575.553145336225,12029.966703662598,7644.3545308802195,8070.051111598884,7205.623958979719,6935.118592195869,8895.685398118445,11709.31351978475,2011.3706207744315
2,Arizona State University Digital Immersion,,,,,,,,,,,,,,,
3,Arizona State University-Downtown Phoenix,,,,,,,,,,,,,,0.0,
4,Arkansas State University,6696.341034819395,6475.999518459069,6060.466024057994,5107.789291338583,4413.130424143556,4543.564586478778,3813.2669372204737,3476.294814574373,3197.585752191043,852.8997357251542,867.7570194384449,873.401877559173,1175.6894991257843,,
5,Auburn University,27643.09093151071,27693.6037256865,28007.255164651637,28233.73652207591,26702.026597904653,24773.68757170172,26426.31461024499,23135.660173255354,20027.323514008902,17119.06524263791,17388.044382331766,16408.161054968958,16771.128300500528,20687.795449332538,16676.378265274656
6,Ball State University,10912.89620758483,11136.89107254861,9668.686507220216,10172.931646335315,9411.425276086284,9958.346873385013,9810.519201307323,8474.883973536093,7806.175890279114,7488.541276635778,6711.665010714982,6302.451717400247,149.04374933953292,136.43484069886946,125.91408016443988
7,Binghamton University,6542.039570378745,6691.076594045854,6475.712020131086,6462.673148531237,5604.957333173308,5894.609173639528,5305.784633808144,4895.474562798092,4267.3357885317,4409.65801967935,4364.228826460006,3973.319369214947,2628.6251062623974,2836.2431676350334,2253.085001471887
8,Boise State University,6372.513998369122,6711.198171078042,6545.406937095826,6122.491946147374,5706.898845892736,5781.549063253571,5719.360492918889,4948.396327649934,4544.778293918919,4484.574495848161,3947.843188137164,3468.3519065190653,4873.720274826643,5114.487905644033,4388.0488515482075
9,Bowling Green State University-Main Campus,11275.844266830618,10710.656618771018,9941.633178142612,9506.226710534333,9137.387944454822,9915.3343289273,11708.421558296659,10271.272849544537,10027.491401677427,10589.870410877918,9116.746598538411,8241.15692361762,11325.08237408052,4295.248509808172,3792.4490071228147
10,Central Michigan University,11486.727628601138,10466.126154016252,9316.187631188246,7691.155620021635,6165.728593668915,,4989.721470465986,4060.5021530890235,3440.9136126763547,3540.0714907012384,2837.3798963378367,2507.727774662468,3361.9652929363488,3518.4571648426813,2922.295353032125
11,Clemson University,30886.382091346153,31994.136112029082,31203.54704917343,31355.571369523284,27987.457002567684,40226.72771118187,39230.17720746927,25761.543788187373,8889.16630457273,8773.865917921967,7440.7413449631185,6509.458660975062,8180.718205082426,8241.513629236522,5884.7499547893185
12,Cleveland State University,7005.783919981675,548.9764949368024,547.3856647899523,532.862414905052,487.05513998717674,542.1515928231418,527.7920963388469,525.4722124143775,467.033619507972,454.77500860585195,400.40624550295007,397.55658086449733,499.7853892611897,512.1249008723236,496.5659524737047
