,Institution Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,Air Force Institute of Technology-Graduate School of Engineering & Management,17.0,14.0,13.0,13.0,12.0,10.0,8.0,6.0,2.0,0.0,0.0
1,Arizona State University Campus Immersion,34.0,29.0,27.0,27.0,27.0,26.0,25.0,24.0,28.0,26.0,24.0
2,Arizona State University Digital Immersion,33.0,32.0,32.0,31.0,30.0,31.0,32.0,31.0,,,
3,Arizona State University-Downtown Phoenix,,43.0,40.0,40.0,39.0,38.0,37.0,36.0,,,
4,Arkansas State University,19.0,18.0,18.0,18.0,17.0,17.0,19.0,18.0,18.0,18.0,19.0
5,Auburn University,11.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,11.0,12.0,11.0
6,Ball State University,19.0,17.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,11.0,10.0
7,Binghamton University,19.0,18.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,14.0,13.0
8,Boise State University,20.0,20.0,19.0,18.0,17.0,15.0,16.0,14.0,12.0,12.0,10.0
9,Bowling Green State University-Main Campus,14.0,14.0,15.0,15.0,15.0,16.0,16.0,15.0,16.0,14.0,15.0
10,Central Michigan University,21.0,21.0,20.0,20.0,19.0,19.0,17.0,18.0,17.0,16.0,14.0
11,Clemson University,15.0,14.0,13.0,13.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0
12,Cleveland State University,25.0,25.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,23.0,23.0
13,Colorado School of Mines,16.0,15.0,14.0,14.0,13.0,13.0,12.0,11.0,10.0,9.0,9.0
14,Colorado State University-Fort Collins,21.0,19.0,18.0,18.0,16.0,15.0,14.0,13.0,13.0,13.0,11.0
15,CUNY City College,53.0,54.0,54.0,54.0,53.0,53.0,51.0,51.0,52.0,52.0,51.0
16,CUNY Graduate School and University Center,42.0,41.0,40.0,57.0,55.0,56.0,50.0,46.0,40.0,23.0,24.0
17,Delaware State University,81.0,78.0,79.0,79.0,80.0,77.0,75.0,78.0,78.0,82.0,80.0
18,East Carolina University,27.0,27.0,27.0,26.0,25.0,26.0,25.0,24.0,20.0,20.0,19.0
19,East Tennessee State University,14.0,13.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
20,Eastern Michigan University,27.0,26.0,26.0,26.0,27.0,26.0,25.0,25.0,25.0,24.0,23.0
21,Florida Agricultural and Mechanical University,92.0,91.0,89.0,89.0,89.0,90.0,89.0,93.0,93.0,93.0,94.0
22,Florida Atlantic University,51.0,49.0,49.0,49.0,48.0,46.0,46.0,44.0,42.0,40.0,38.0
23,Florida International University,79.0,78.0,78.0,79.0,78.0,77.0,77.0,76.0,76.0,74.0,73.0
24,Florida State University,33.0,33.0,32.0,29.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0
25,George Mason University,29.0,28.0,28.0,27.0,25.0,25.0,23.0,23.0,21.0,19.0,18.0
26,Georgia Institute of Technology-Main Campus,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0
27,Georgia Southern University,37.0,36.0,35.0,31.0,32.0,33.0,32.0,32.0,32.0,31.0,28.0
28,Georgia State University,56.0,55.0,54.0,52.0,51.0,49.0,48.0,47.0,44.0,43.0,41.0
29,Idaho State University,17.0,17.0,16.0,16.0,15.0,13.0,12.0,12.0,11.0,10.0,8.0
30,Illinois State University,23.0,23.0,22.0,21.0,21.0,19.0,17.0,16.0,14.0,13.0,11.0
31,Indiana University-Bloomington,16.0,15.0,14.0,14.0,12.0,12.0,11.0,11.0,10.0,10.0,8.0
32,Indiana University-Purdue University-Indianapolis,23.0,21.0,20.0,20.0,18.0,18.0,18.0,18.0,17.0,15.0,13.0
33,Iowa State University,12.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0
34,Jackson State University,92.0,92.0,92.0,91.0,92.0,90.0,90.0,92.0,92.0,93.0,92.0
35,Kansas State University,14.0,13.0,13.0,14.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0
36,Kennesaw State University,41.0,37.0,35.0,34.0,34.0,32.0,,,,,
37,Kent State University at Kent,17.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,12.0,11.0
38,Louisiana State University and Agricultural & Mechanical College,24.0,22.0,21.0,20.0,20.0,20.0,18.0,18.0,16.0,15.0,14.0
39,Louisiana Tech University,18.0,19.0,19.0,20.0,18.0,18.0,16.0,15.0,16.0,16.0,13.0
40,Marshall University,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,6.0
41,Miami University-Oxford,13.0,13.0,13.0,11.0,10.0,10.0,9.0,10.0,9.0,8.0,7.0
42,Michigan State University,16.0,15.0,15.0,14.0,14.0,14.0,12.0,11.0,11.0,12.0,12.0
43,Michigan Technological University,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
44,Mississippi State University,23.0,23.0,24.0,24.0,24.0,23.0,23.0,24.0,24.0,25.0,23.0
45,Missouri University of Science and Technology,12.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0
46,Montana State University,11.0,10.0,12.0,10.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0
47,Montclair State University,46.0,43.0,43.0,40.0,37.0,36.0,35.0,33.0,32.0,30.0,28.0
48,Morgan State University,87.0,87.0,84.0,82.0,81.0,86.0,88.0,88.0,89.0,91.0,91.0
49,New Jersey Institute of Technology,29.0,29.0,28.0,28.0,25.0,26.0,27.0,26.0,28.0,26.0,25.0
50,New Mexico State University-Main Campus,65.0,64.0,63.0,61.0,59.0,57.0,56.0,55.0,53.0,52.0,51.0
51,North Carolina A & T State University,87.0,87.0,86.0,86.0,85.0,86.0,85.0,86.0,85.0,86.0,87.0
52,North Carolina State University at Raleigh,17.0,15.0,14.0,14.0,13.0,13.0,14.0,13.0,13.0,13.0,12.0
53,North Dakota State University-Main Campus,11.0,10.0,9.0,9.0,9.0,8.0,7.0,6.0,5.0,5.0,5.0
54,Northern Arizona University,36.0,35.0,34.0,34.0,33.0,32.0,30.0,28.0,29.0,26.0,25.0
55,Northern Illinois University,37.0,35.0,33.0,31.0,30.0,29.0,29.0,28.0,26.0,24.0,22.0
56,Oakland University,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,11.0
57,Ohio State University-Main Campus,16.0,15.0,15.0,13.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0
58,Ohio University-Main Campus,14.0,14.0,12.0,12.0,12.0,11.0,11.0,9.0,9.0,9.0,9.0
59,Oklahoma State University-Main Campus,25.0,25.0,24.0,24.0,23.0,23.0,21.0,19.0,19.0,19.0,19.0
60,Old Dominion University,44.0,43.0,42.0,41.0,40.0,38.0,35.0,34.0,32.0,31.0,29.0
61,Oregon State University,21.0,19.0,17.0,17.0,16.0,16.0,15.0,14.0,12.0,12.0,10.0
62,Pennsylvania State University-Main Campus,,15.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,10.0
63,Portland State University,28.0,26.0,26.0,24.0,23.0,21.0,20.0,18.0,17.0,16.0,12.0
64,Purdue University-Main Campus,13.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0
65,Rowan University,25.0,24.0,23.0,22.0,22.0,21.0,20.0,20.0,19.0,18.0,19.0
66,Rutgers University-Camden,38.0,37.0,36.0,35.0,33.0,30.0,29.0,29.0,27.0,27.0,24.0
67,Rutgers University-New Brunswick,24.0,22.0,23.0,23.0,23.0,23.0,22.0,22.0,21.0,21.0,20.0
68,Rutgers University-Newark,42.0,42.0,41.0,41.0,39.0,38.0,38.0,37.0,37.0,36.0,34.0
69,San Diego State University,43.0,41.0,41.0,40.0,40.0,39.0,38.0,38.0,36.0,34.0,32.0
70,South Dakota State University,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0
71,Southern Illinois University-Carbondale,25.0,24.0,25.0,26.0,27.0,27.0,27.0,26.0,27.0,26.0,25.0
72,Stony Brook University,21.0,19.0,20.0,18.0,18.0,17.0,17.0,17.0,14.0,14.0,14.0
73,SUNY at Albany,36.0,34.0,34.0,33.0,31.0,30.0,26.0,25.0,23.0,21.0,17.0
74,SUNY College of Environmental Science and Forestry,12.0,10.0,8.0,9.0,8.0,7.0,7.0,5.0,5.0,10.0,9.0
75,Temple University,25.0,22.0,22.0,21.0,21.0,21.0,19.0,19.0,19.0,18.0,18.0
76,Tennessee State University,78.0,76.0,72.0,71.0,69.0,67.0,68.0,70.0,75.0,73.0,73.0
77,Tennessee Technological University,12.0,11.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,7.0,7.0
78,Texas A & M University-College Station,29.0,28.0,27.0,27.0,26.0,25.0,24.0,23.0,21.0,20.0,19.0
79,Texas A & M University-Corpus Christi,55.0,55.0,55.0,56.0,54.0,52.0,52.0,49.0,49.0,48.0,45.0
80,Texas A & M University-Kingsville,76.0,73.0,73.0,70.0,65.0,63.0,67.0,70.0,71.0,72.0,68.0
81,Texas Southern University,90.0,90.0,87.0,88.0,83.0,84.0,85.0,87.0,88.0,89.0,89.0
82,Texas State University,52.0,51.0,50.0,49.0,47.0,45.0,43.0,40.0,36.0,35.0,33.0
83,Texas Tech University,37.0,36.0,36.0,33.0,30.0,30.0,29.0,28.0,25.0,22.0,21.0
84,The Pennsylvania State University,18.0,,,,,,,,,,
85,The University of Alabama,19.0,19.0,19.0,19.0,18.0,18.0,16.0,16.0,17.0,16.0,16.0
86,The University of Montana,14.0,13.0,12.0,12.0,11.0,12.0,12.0,12.0,10.0,10.0,10.0
87,The University of Tennessee-Knoxville,15.0,15.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0
88,The University of Texas at Arlington,45.0,43.0,42.0,41.0,39.0,38.0,38.0,39.0,38.0,36.0,33.0
89,The University of Texas at Austin,31.0,29.0,28.0,27.0,27.0,27.0,26.0,26.0,24.0,24.0,22.0
90,The University of Texas at Dallas,24.0,22.0,22.0,22.0,22.0,21.0,21.0,20.0,20.0,19.0,18.0
