,Institution Name,18-19,17-18,16-17,15-16,14-15,13-14,12-13,11-12
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,
1,Arizona State University Campus Immersion,11467.0,10488.0,10642.0,9681.0,9622.0,9215.0,8049.0,7596.0
2,Arizona State University Digital Immersion,6939.0,6829.0,6618.0,6326.0,5201.0,4471.0,7662.0,
3,Arizona State University-Downtown Phoenix,11204.0,10531.0,10907.0,9852.0,9329.0,8896.0,8101.0,
4,Arkansas State University,7391.0,6791.0,6449.0,6433.0,6392.0,6115.0,6019.0,6016.0
5,Auburn University,8457.0,8910.0,8385.0,8996.0,8357.0,7283.0,6782.0,9971.0
6,Ball State University,7501.0,8010.0,8279.0,9256.0,7448.0,7122.0,5991.0,5283.0
7,Binghamton University,3271.0,3269.0,3328.0,2941.0,2726.0,2370.0,2162.0,1769.0
8,Boise State University,9813.0,10598.0,7151.0,10592.0,9617.0,7569.0,7172.0,6972.0
9,Bowling Green State University-Main Campus,5985.0,5655.0,5400.0,5431.0,5467.0,5603.0,4130.0,4224.0
10,Central Michigan University,7440.0,7495.0,6794.0,6726.0,6410.0,6111.0,6571.0,5971.0
11,Clemson University,6725.0,7315.0,6662.0,7153.0,8081.0,7096.0,6988.0,7203.0
12,Cleveland State University,5182.0,5111.0,5757.0,5987.0,5258.0,5325.0,5442.0,5155.0
13,Colorado School of Mines,10852.0,9796.0,9867.0,9259.0,8650.0,8157.0,7540.0,7229.0
14,Colorado State University-Fort Collins,7112.0,6939.0,6291.0,5717.0,5175.0,5646.0,5169.0,4832.0
15,CUNY City College,5153.0,5003.0,5120.0,5320.0,4822.0,4561.0,6500.0,5682.0
16,CUNY Graduate School and University Center,,,,,,,,
17,Delaware State University,6659.0,7300.0,7147.0,5722.0,5565.0,5445.0,5681.0,4902.0
18,East Carolina University,3613.0,3721.0,3810.0,3611.0,3615.0,3442.0,4178.0,3477.0
19,East Tennessee State University,5926.0,8225.0,6579.0,6094.0,6686.0,6475.0,6571.0,7345.0
20,Eastern Michigan University,6082.0,5569.0,5289.0,5668.0,5083.0,4799.0,4712.0,4660.0
21,Florida Agricultural and Mechanical University,3983.0,3986.0,6964.0,5573.0,4827.0,4140.0,4440.0,6056.0
22,Florida Atlantic University,4596.0,4769.0,4876.0,4500.0,3741.0,3040.0,2935.0,3066.0
23,Florida International University,3485.0,3416.0,2530.0,2571.0,5500.0,5478.0,3125.0,1631.0
24,Florida State University,3944.0,4152.0,4434.0,3328.0,2466.0,2205.0,2304.0,2465.0
25,George Mason University,8664.0,8740.0,8868.0,8085.0,7345.0,7568.0,9071.0,8113.0
26,Georgia Institute of Technology-Main Campus,12608.0,11939.0,8444.0,7944.0,5900.0,6681.0,6289.0,6823.0
27,Georgia Southern University,5750.0,6056.0,6122.0,3796.0,3606.0,3648.0,3365.0,3062.0
28,Georgia State University,6271.0,4986.0,5011.0,2306.0,1645.0,2426.0,1120.0,953.0
29,Idaho State University,4276.0,4477.0,5454.0,4329.0,3835.0,5558.0,4404.0,4857.0
30,Illinois State University,5263.0,5899.0,5300.0,5582.0,4924.0,4820.0,4548.0,3937.0
31,Indiana University-Bloomington,8057.0,8375.0,8401.0,8021.0,7787.0,9103.0,8682.0,8369.0
32,Indiana University-Purdue University-Indianapolis,5231.0,5363.0,5130.0,4035.0,4473.0,4535.0,4819.0,4659.0
33,Iowa State University,7041.0,7005.0,6723.0,6384.0,6092.0,5923.0,5397.0,5505.0
34,Jackson State University,6506.0,8223.0,9383.0,8740.0,10862.0,9257.0,8596.0,7288.0
35,Kansas State University,6971.0,5725.0,5326.0,5192.0,4529.0,4135.0,3842.0,3776.0
36,Kennesaw State University,4758.0,6139.0,6381.0,3422.0,4814.0,,,
37,Kent State University at Kent,6191.0,5768.0,5626.0,5536.0,5385.0,4784.0,4457.0,4590.0
38,Louisiana State University and Agricultural & Mechanical College,6820.0,6481.0,5933.0,5636.0,5380.0,4195.0,3939.0,3694.0
39,Louisiana Tech University,5897.0,5821.0,7219.0,7081.0,6328.0,5898.0,4832.0,4046.0
40,Marshall University,5517.0,4640.0,4658.0,4174.0,3866.0,3697.0,2929.0,3237.0
41,Miami University-Oxford,11092.0,11790.0,11067.0,10253.0,9057.0,9546.0,6522.0,5966.0
