,Institution Name,18-19,17-18,16-17,15-16,14-15,13-14,12-13,11-12,10-11,09-10
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,
1,Arizona State University Campus Immersion,94.0,92.0,86.0,85.0,83.0,86.0,85.0,75.0,79.0,72.0
2,Arizona State University Digital Immersion,64.0,56.0,53.0,48.0,42.0,46.0,41.0,,,
3,Arizona State University-Downtown Phoenix,95.0,92.0,92.0,88.0,89.0,92.0,90.0,,,
4,Arkansas State University,78.0,77.0,67.0,70.0,69.0,65.0,63.0,54.0,47.0,36.0
5,Auburn University,61.0,62.0,62.0,60.0,57.0,65.0,65.0,69.0,62.0,57.0
6,Ball State University,60.0,58.0,51.0,40.0,48.0,47.0,46.0,47.0,42.0,37.0
7,Binghamton University,51.0,46.0,44.0,42.0,45.0,45.0,37.0,37.0,8.0,8.0
8,Boise State University,53.0,52.0,76.0,41.0,39.0,33.0,35.0,22.0,25.0,66.0
9,Bowling Green State University-Main Campus,68.0,69.0,66.0,69.0,71.0,70.0,77.0,78.0,75.0,78.0
10,Central Michigan University,90.0,86.0,86.0,81.0,79.0,69.0,67.0,64.0,64.0,64.0
11,Clemson University,75.0,71.0,77.0,68.0,62.0,59.0,65.0,46.0,41.0,39.0
12,Cleveland State University,55.0,54.0,45.0,45.0,40.0,41.0,45.0,47.0,49.0,66.0
13,Colorado School of Mines,81.0,82.0,82.0,81.0,77.0,76.0,72.0,74.0,65.0,57.0
14,Colorado State University-Fort Collins,56.0,53.0,57.0,53.0,51.0,48.0,45.0,47.0,42.0,48.0
15,CUNY City College,5.0,7.0,11.0,4.0,5.0,6.0,5.0,5.0,3.0,2.0
16,CUNY Graduate School and University Center,,,,,,,,,,
17,Delaware State University,62.0,63.0,61.0,66.0,60.0,60.0,56.0,36.0,57.0,56.0
18,East Carolina University,45.0,40.0,49.0,42.0,48.0,50.0,39.0,38.0,39.0,28.0
19,East Tennessee State University,38.0,37.0,37.0,29.0,15.0,15.0,17.0,14.0,13.0,28.0
20,Eastern Michigan University,91.0,93.0,92.0,92.0,92.0,90.0,90.0,76.0,72.0,66.0
21,Florida Agricultural and Mechanical University,52.0,49.0,65.0,55.0,58.0,57.0,54.0,34.0,25.0,17.0
22,Florida Atlantic University,48.0,51.0,59.0,38.0,39.0,43.0,37.0,33.0,31.0,29.0
23,Florida International University,63.0,78.0,76.0,44.0,36.0,48.0,49.0,38.0,46.0,50.0
24,Florida State University,65.0,69.0,66.0,44.0,43.0,42.0,38.0,40.0,36.0,39.0
25,George Mason University,37.0,33.0,28.0,29.0,23.0,20.0,16.0,19.0,17.0,19.0
26,Georgia Institute of Technology-Main Campus,26.0,26.0,26.0,25.0,23.0,32.0,28.0,28.0,29.0,27.0
27,Georgia Southern University,16.0,16.0,15.0,13.0,11.0,8.0,8.0,8.0,11.0,10.0
28,Georgia State University,22.0,25.0,25.0,23.0,28.0,3.0,3.0,3.0,14.0,6.0
29,Idaho State University,71.0,66.0,69.0,62.0,51.0,37.0,39.0,40.0,29.0,48.0
30,Illinois State University,67.0,55.0,55.0,49.0,46.0,38.0,34.0,31.0,31.0,27.0
31,Indiana University-Bloomington,71.0,59.0,58.0,55.0,48.0,46.0,46.0,45.0,47.0,53.0
32,Indiana University-Purdue University-Indianapolis,65.0,64.0,57.0,54.0,44.0,41.0,37.0,40.0,36.0,33.0
33,Iowa State University,79.0,78.0,76.0,78.0,74.0,75.0,75.0,73.0,72.0,71.0
34,Jackson State University,62.0,35.0,25.0,39.0,54.0,55.0,49.0,38.0,41.0,37.0
35,Kansas State University,77.0,75.0,74.0,71.0,68.0,65.0,63.0,61.0,64.0,66.0
36,Kennesaw State University,9.0,6.0,6.0,4.0,3.0,,,,,
37,Kent State University at Kent,87.0,85.0,79.0,79.0,78.0,75.0,71.0,70.0,57.0,64.0
38,Louisiana State University and Agricultural & Mechanical College,75.0,61.0,55.0,57.0,55.0,53.0,50.0,48.0,61.0,60.0
39,Louisiana Tech University,81.0,79.0,78.0,75.0,72.0,70.0,65.0,62.0,58.0,58.0
40,Marshall University,81.0,80.0,63.0,65.0,62.0,58.0,58.0,56.0,54.0,41.0
41,Miami University-Oxford,70.0,65.0,67.0,65.0,64.0,64.0,71.0,71.0,67.0,61.0
42,Michigan State University,48.0,45.0,45.0,46.0,45.0,44.0,39.0,41.0,39.0,67.0
43,Michigan Technological University,93.0,92.0,92.0,92.0,94.0,94.0,92.0,93.0,92.0,93.0
44,Mississippi State University,86.0,86.0,83.0,81.0,74.0,68.0,66.0,66.0,66.0,68.0
45,Missouri University of Science and Technology,81.0,84.0,80.0,82.0,84.0,81.0,91.0,86.0,83.0,81.0
46,Montana State University,71.0,69.0,61.0,63.0,66.0,66.0,69.0,65.0,51.0,45.0
47,Montclair State University,38.0,30.0,27.0,9.0,8.0,7.0,10.0,15.0,12.0,10.0
48,Morgan State University,42.0,47.0,47.0,48.0,50.0,38.0,34.0,30.0,26.0,20.0
49,New Jersey Institute of Technology,65.0,67.0,62.0,56.0,62.0,46.0,47.0,49.0,45.0,49.0
50,New Mexico State University-Main Campus,97.0,65.0,65.0,61.0,38.0,39.0,39.0,47.0,31.0,49.0
51,North Carolina A & T State University,67.0,71.0,77.0,66.0,67.0,59.0,55.0,45.0,51.0,46.0
52,North Carolina State University at Raleigh,48.0,49.0,48.0,48.0,52.0,50.0,52.0,52.0,45.0,42.0
53,North Dakota State University-Main Campus,44.0,40.0,49.0,41.0,38.0,37.0,35.0,33.0,41.0,40.0
54,Northern Arizona University,92.0,87.0,83.0,82.0,64.0,66.0,61.0,64.0,64.0,62.0
55,Northern Illinois University,92.0,85.0,80.0,82.0,82.0,79.0,74.0,78.0,36.0,38.0
56,Oakland University,88.0,85.0,71.0,68.0,69.0,76.0,72.0,79.0,79.0,69.0
57,Ohio State University-Main Campus,70.0,73.0,70.0,80.0,79.0,78.0,72.0,71.0,69.0,74.0
58,Ohio University-Main Campus,81.0,80.0,83.0,82.0,80.0,68.0,52.0,49.0,58.0,55.0
59,Oklahoma State University-Main Campus,80.0,79.0,73.0,75.0,75.0,73.0,72.0,72.0,78.0,74.0
60,Old Dominion University,76.0,77.0,70.0,65.0,47.0,41.0,33.0,23.0,24.0,23.0
61,Oregon State University,72.0,68.0,68.0,67.0,59.0,55.0,64.0,64.0,56.0,51.0
62,Pennsylvania State University-Main Campus,43.0,30.0,31.0,35.0,33.0,37.0,32.0,30.0,29.0,33.0
63,Portland State University,53.0,66.0,55.0,53.0,54.0,45.0,42.0,45.0,32.0,23.0
64,Purdue University-Main Campus,43.0,48.0,43.0,43.0,42.0,47.0,43.0,41.0,43.0,40.0
65,Rowan University,45.0,40.0,39.0,42.0,41.0,52.0,44.0,38.0,34.0,27.0
66,Rutgers University-Camden,92.0,73.0,78.0,61.0,69.0,67.0,47.0,53.0,35.0,18.0
67,Rutgers University-New Brunswick,40.0,42.0,46.0,46.0,45.0,47.0,49.0,48.0,45.0,25.0
68,Rutgers University-Newark,35.0,39.0,42.0,41.0,41.0,43.0,35.0,33.0,35.0,18.0
69,San Diego State University,20.0,20.0,21.0,23.0,23.0,27.0,29.0,26.0,25.0,25.0
70,South Dakota State University,53.0,52.0,53.0,57.0,55.0,53.0,54.0,54.0,50.0,53.0
71,Southern Illinois University-Carbondale,83.0,78.0,74.0,74.0,79.0,79.0,44.0,40.0,28.0,31.0
72,Stony Brook University,69.0,68.0,70.0,66.0,63.0,67.0,54.0,52.0,36.0,28.0
73,SUNY at Albany,65.0,64.0,59.0,61.0,58.0,57.0,56.0,53.0,15.0,19.0
74,SUNY College of Environmental Science and Forestry,87.0,88.0,84.0,81.0,81.0,81.0,82.0,82.0,74.0,55.0
75,Temple University,79.0,80.0,82.0,83.0,82.0,76.0,73.0,69.0,67.0,38.0
76,Tennessee State University,40.0,34.0,39.0,32.0,35.0,30.0,27.0,32.0,32.0,33.0
77,Tennessee Technological University,48.0,47.0,53.0,53.0,43.0,31.0,30.0,31.0,27.0,34.0
