,Institution Name,18-19,17-18,16-17,15-16,14-15,13-14,12-13,11-12,10-11,09-10,08-09
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,,
1,Arizona State University Campus Immersion,29.0,30.0,29.0,30.0,31.0,32.0,34.0,41.0,38.0,31.0,23.0
2,Arizona State University Digital Immersion,42.0,42.0,40.0,41.0,41.0,42.0,43.0,,,,
3,Arizona State University-Downtown Phoenix,40.0,41.0,39.0,40.0,42.0,41.0,42.0,,,,
4,Arkansas State University,40.0,41.0,41.0,44.0,46.0,45.0,46.0,48.0,49.0,47.0,42.0
5,Auburn University,15.0,15.0,15.0,15.0,16.0,16.0,17.0,18.0,18.0,15.0,13.0
6,Ball State University,34.0,33.0,33.0,33.0,34.0,34.0,35.0,32.0,31.0,27.0,22.0
7,Binghamton University,28.0,28.0,28.0,28.0,29.0,29.0,27.0,27.0,28.0,26.0,23.0
8,Boise State University,23.0,26.0,28.0,30.0,33.0,35.0,37.0,44.0,43.0,35.0,25.0
9,Bowling Green State University-Main Campus,27.0,29.0,28.0,31.0,32.0,33.0,34.0,37.0,38.0,31.0,25.0
10,Central Michigan University,34.0,34.0,34.0,34.0,35.0,36.0,35.0,37.0,35.0,30.0,22.0
11,Clemson University,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,15.0,13.0
12,Cleveland State University,41.0,43.0,39.0,41.0,43.0,43.0,43.0,51.0,46.0,41.0,37.0
13,Colorado School of Mines,15.0,16.0,15.0,15.0,17.0,17.0,18.0,19.0,20.0,18.0,14.0
14,Colorado State University-Fort Collins,23.0,23.0,23.0,24.0,24.0,25.0,26.0,26.0,24.0,21.0,17.0
15,CUNY City College,55.0,55.0,53.0,52.0,53.0,52.0,51.0,53.0,51.0,47.0,43.0
16,CUNY Graduate School and University Center,27.0,29.0,25.0,24.0,23.0,23.0,25.0,27.0,25.0,18.0,15.0
17,Delaware State University,49.0,51.0,49.0,51.0,47.0,48.0,50.0,55.0,54.0,50.0,42.0
18,East Carolina University,34.0,35.0,34.0,33.0,34.0,34.0,32.0,33.0,32.0,28.0,23.0
19,East Tennessee State University,39.0,41.0,41.0,40.0,42.0,43.0,44.0,45.0,44.0,37.0,30.0
20,Eastern Michigan University,39.0,41.0,41.0,43.0,44.0,44.0,45.0,46.0,44.0,37.0,29.0
21,Florida Agricultural and Mechanical University,61.0,61.0,59.0,63.0,61.0,61.0,64.0,67.0,73.0,60.0,60.0
22,Florida Atlantic University,39.0,39.0,38.0,39.0,40.0,39.0,40.0,40.0,35.0,29.0,23.0
23,Florida International University,48.0,50.0,49.0,55.0,55.0,56.0,58.0,59.0,49.0,44.0,30.0
24,Florida State University,31.0,31.0,30.0,31.0,32.0,33.0,31.0,32.0,29.0,25.0,20.0
25,George Mason University,30.0,30.0,28.0,27.0,27.0,25.0,27.0,28.0,27.0,25.0,20.0
26,Georgia Institute of Technology-Main Campus,14.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,17.0,16.0,11.0
27,Georgia Southern University,37.0,37.0,36.0,37.0,38.0,38.0,38.0,38.0,38.0,32.0,27.0
28,Georgia State University,50.0,50.0,49.0,51.0,53.0,52.0,51.0,51.0,48.0,40.0,37.0
29,Idaho State University,33.0,34.0,33.0,35.0,39.0,43.0,47.0,58.0,57.0,47.0,39.0
30,Illinois State University,30.0,29.0,28.0,28.0,27.0,27.0,26.0,25.0,25.0,21.0,18.0
31,Indiana University-Bloomington,19.0,19.0,15.0,15.0,16.0,16.0,19.0,20.0,20.0,17.0,14.0
32,Indiana University-Purdue University-Indianapolis,36.0,36.0,36.0,38.0,37.0,37.0,37.0,37.0,35.0,29.0,23.0
33,Iowa State University,21.0,21.0,21.0,21.0,21.0,22.0,23.0,24.0,25.0,22.0,19.0
34,Jackson State University,70.0,62.0,61.0,62.0,66.0,66.0,65.0,76.0,74.0,74.0,69.0
35,Kansas State University,23.0,23.0,23.0,23.0,24.0,24.0,25.0,26.0,26.0,23.0,20.0
36,Kennesaw State University,35.0,37.0,37.0,39.0,40.0,,,,,,
37,Kent State University at Kent,30.0,30.0,30.0,31.0,32.0,33.0,34.0,37.0,38.0,33.0,27.0
38,Louisiana State University and Agricultural & Mechanical College,22.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0,20.0,18.0,15.0
39,Louisiana Tech University,23.0,23.0,22.0,21.0,21.0,21.0,22.0,24.0,24.0,20.0,20.0
40,Marshall University,39.0,42.0,40.0,41.0,44.0,43.0,44.0,43.0,44.0,39.0,33.0
41,Miami University-Oxford,11.0,11.0,11.0,11.0,12.0,14.0,16.0,17.0,18.0,13.0,10.0
42,Michigan State University,22.0,22.0,22.0,23.0,22.0,23.0,24.0,25.0,26.0,23.0,19.0
43,Michigan Technological University,23.0,25.0,23.0,25.0,25.0,26.0,27.0,26.0,28.0,24.0,19.0
44,Mississippi State University,32.0,33.0,32.0,32.0,33.0,33.0,34.0,36.0,35.0,31.0,29.0
45,Missouri University of Science and Technology,25.0,26.0,25.0,24.0,24.0,26.0,26.0,28.0,28.0,25.0,20.0
46,Montana State University,23.0,23.0,24.0,25.0,27.0,29.0,32.0,33.0,33.0,28.0,24.0
47,Montclair State University,44.0,45.0,42.0,41.0,39.0,38.0,37.0,37.0,35.0,30.0,26.0
48,Morgan State University,53.0,52.0,52.0,56.0,62.0,57.0,62.0,89.0,55.0,50.0,48.0
49,New Jersey Institute of Technology,37.0,36.0,35.0,36.0,38.0,38.0,39.0,39.0,36.0,33.0,29.0
50,New Mexico State University-Main Campus,46.0,43.0,41.0,41.0,43.0,42.0,43.0,45.0,43.0,39.0,36.0
51,North Carolina A & T State University,57.0,60.0,60.0,58.0,61.0,61.0,59.0,61.0,59.0,52.0,45.0
52,North Carolina State University at Raleigh,20.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,20.0,16.0
53,North Dakota State University-Main Campus,21.0,21.0,20.0,20.0,20.0,21.0,23.0,23.0,25.0,21.0,19.0
54,Northern Arizona University,34.0,35.0,35.0,35.0,37.0,37.0,38.0,41.0,38.0,33.0,26.0
55,Northern Illinois University,44.0,45.0,43.0,44.0,45.0,44.0,43.0,42.0,40.0,33.0,26.0
56,Oakland University,31.0,32.0,30.0,31.0,32.0,32.0,20.0,32.0,30.0,23.0,18.0
57,Ohio State University-Main Campus,21.0,20.0,20.0,20.0,21.0,22.0,22.0,24.0,28.0,21.0,18.0
58,Ohio University-Main Campus,24.0,27.0,27.0,27.0,26.0,26.0,23.0,24.0,22.0,20.0,17.0
59,Oklahoma State University-Main Campus,29.0,28.0,28.0,27.0,28.0,28.0,29.0,31.0,31.0,29.0,24.0
60,Old Dominion University,39.0,40.0,37.0,37.0,37.0,35.0,34.0,32.0,33.0,29.0,25.0
61,Oregon State University,26.0,25.0,26.0,28.0,30.0,32.0,33.0,34.0,33.0,29.0,23.0
62,Pennsylvania State University-Main Campus,23.0,14.0,15.0,15.0,16.0,17.0,18.0,19.0,19.0,17.0,15.0
63,Portland State University,41.0,39.0,38.0,40.0,41.0,41.0,40.0,41.0,39.0,36.0,29.0
64,Purdue University-Main Campus,16.0,17.0,17.0,18.0,19.0,20.0,21.0,22.0,22.0,19.0,15.0
65,Rowan University,33.0,33.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,26.0,22.0
66,Rutgers University-Camden,46.0,51.0,43.0,48.0,48.0,48.0,43.0,43.0,39.0,37.0,35.0
67,Rutgers University-New Brunswick,29.0,31.0,29.0,31.0,31.0,30.0,31.0,31.0,29.0,27.0,24.0
68,Rutgers University-Newark,54.0,58.0,50.0,53.0,53.0,52.0,46.0,46.0,42.0,39.0,38.0
69,San Diego State University,33.0,34.0,34.0,36.0,38.0,40.0,40.0,39.0,36.0,31.0,27.0
70,South Dakota State University,21.0,22.0,21.0,22.0,25.0,26.0,27.0,29.0,30.0,26.0,43.0
71,Southern Illinois University-Carbondale,37.0,39.0,39.0,42.0,43.0,43.0,43.0,44.0,41.0,39.0,31.0
72,Stony Brook University,35.0,34.0,32.0,33.0,33.0,34.0,35.0,37.0,36.0,33.0,30.0
73,SUNY at Albany,42.0,41.0,41.0,41.0,40.0,39.0,37.0,36.0,36.0,32.0,29.0
74,SUNY College of Environmental Science and Forestry,29.0,28.0,26.0,28.0,27.0,27.0,27.0,21.0,23.0,21.0,20.0
75,Temple University,30.0,30.0,32.0,32.0,34.0,35.0,34.0,34.0,35.0,32.0,28.0
76,Tennessee State University,55.0,59.0,56.0,59.0,62.0,65.0,67.0,69.0,66.0,59.0,49.0
77,Tennessee Technological University,36.0,36.0,35.0,34.0,34.0,36.0,37.0,39.0,40.0,34.0,29.0
78,Texas A & M University-College Station,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,19.0,16.0
