,Institution Name,FY 2020,FY 2019,FY 2018,FY 2017,FY 2016,FY 2015,FY 2014,FY 2013,FY 2012,FY 2011,FY 2010,FY 2009,FY 2008,FY 2007,FY 2006,FY 2005,FY 2004,FY 2003,FY 2002
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,,,,,,,,,,
1,Arizona State University Campus Immersion,0.1303020303086565,0.12895027370963225,0.13122747684895367,0.13771596997182822,0.15283936560217953,0.1566546256554735,0.15554963973333222,0.15823989748226472,0.16300606538783963,0.17121607418708076,0.17676697257009583,0.2025938784468654,0.2056254579046284,0.22495318247934915,0.20475173397875876,0.18519909842223892,0.16796251858172837,0.1723107539226942,0.17403695213415393
2,Arizona State University Digital Immersion,,,,,,,,,,,,,,,,,,,
3,Arizona State University-Downtown Phoenix,,,,,,,,,,,,,,0.07865635107963982,,,,,
4,Arkansas State University,0.16945477654216332,0.1809579196640794,0.16133573714016738,0.177807592347986,0.17109476792152473,0.17918070348355145,0.180422075573531,0.21210835649762702,0.2082073826077419,0.20594216974487867,0.23492166161059463,0.21081244822190687,0.20207605645797322,0.19430281718350653,0.20400547758426224,0.22665246309598555,0.3216954310126517,0.293095245979055,0.28933538350859833
5,Auburn University,0.23297620596820964,0.23050538364575948,0.2284851204591805,0.2113512848231665,0.23972658503242678,0.20888921492802356,0.188908550093485,0.2003260356988427,0.2063289356530384,0.21664170232389632,0.16683968385068917,0.22290784378191714,0.2327564010383616,0.23180206553843963,0.2061628857667413,0.1835223941245511,0.19192879830712928,0.15747979895275593,0.17622663820938236
6,Ball State University,0.22671974719377286,0.22733504702374743,0.20761977207914262,0.2346576275242911,0.21889356955946565,0.3402271193555992,0.24825640866490334,0.22719067366563703,0.24278860598146668,0.17115587842375238,0.16945099393466723,0.18386701226416455,0.18691509642554993,0.19043238054803335,0.16926900532904784,0.1518093330839567,0.15247040899079006,0.15751330316646006,0.16023015223480383
7,Binghamton University,0.21708021875175748,0.20327736733022894,0.218466003478786,0.19878661902426822,0.20031322078935168,0.2144451907192454,0.19175784349758568,0.19081139737587333,0.19475902116481025,0.18590234240177378,0.19700092570896774,0.21866294895087024,0.26942815920579527,0.22749268507616222,0.2485329954391828,0.2600393157360445,0.23276038786829994,0.19891401234472442,
8,Boise State University,0.1658594137388804,0.19245494647377565,0.18988529703903323,0.19943514294020842,0.1818809617304792,0.18751971144748922,0.18164389978357234,0.162098088222279,0.15035739959476951,0.12889176015805306,0.1424498075532835,0.16951378381779045,0.17851748659243744,0.12709934604213402,0.11707375199555005,0.14924944221507586,0.15386541238612553,0.24404280962081665,0.2603623510380667
9,Bowling Green State University-Main Campus,0.23364648987268338,0.21724882117536468,0.20061778979467984,0.21364868166362305,0.19235059859479253,0.21954359648321417,0.16758927559683087,0.17262924720328376,0.18124659659681228,0.19378208392304894,0.19718455732331058,0.18423391571418835,0.4190400240938572,0.18970379965701864,0.19678264038595902,0.1913881288708802,0.2102021178727319,0.22042727080072022,0.18595065324239685
10,Central Michigan University,0.19105709078979002,0.18471167768533242,0.1785747020143415,0.17938518174468876,0.14821001649398438,0.17418614739121596,0.15835464797354232,0.13760463066641943,0.13918319217005273,0.13478969230882187,0.1567273361697164,0.17483602188108502,0.19066100371815725,0.17108956787038127,0.16584737165773997,0.16559523679878668,0.17953399188407942,0.19870095231534546,0.2062185490935645
11,Clemson University,0.1687157271946241,0.14974616540102664,0.1487820393859528,0.13690566181677488,0.14043802295184377,0.15407340650117307,0.14667294275775727,0.14394084124937495,0.13276713492156084,0.11913305945238424,0.12422470807661344,0.13309226400985047,0.1487406064219363,0.13357719459263073,0.13291006730410304,0.12460039639116952,0.12524503947254528,0.11976221216157062,0.1216047668038457
12,Cleveland State University,0.2503314144350788,0.22544985324703362,0.22648996204220978,0.22853897634647546,0.2550900673879958,0.2271381604494556,0.2490872096769831,0.27027015557484124,0.2353884746152228,0.2614120110090298,0.2461754638409512,0.26029815250392424,0.22541925024663087,0.22027284179409456,0.2238627163852082,0.22969106324914088,0.23322076685823545,0.23758033590999225,0.24938928796606163
13,Colorado School of Mines,0.2627048094681566,0.2352498134399828,0.2532677112020111,0.23547428832640832,0.230225529757209,0.19693095519632664,0.1928649782808384,0.18250342067872993,0.16486105456402642,0.15302803692498856,0.18016129854097965,0.1961164318480314,0.16905978116906423,0.15724169464442878,0.19399609079879254,0.15871519721577726,0.17138157066823342,0.16172187040319352,0.018826086461322018
14,Colorado State University-Fort Collins,0.13891243289763952,0.14106026287363413,0.12795756104519324,0.13659870581504932,0.13949743394233477,0.13857074066090597,0.13355367256317635,0.1380085658892386,0.12841202416209613,0.13066323594266935,0.13896148864996274,0.14103360775546137,0.13303678362751453,0.1082945800189501,0.10884664510478306,0.10331998622104027,0.09449208212669238,0.09409939589069492,0.08648580772317553
15,CUNY City College,0.16694148917249468,0.17408606038965244,0.16342797866436068,0.18714210733301956,0.17291610861646783,0.1541179888891944,0.3859015030711834,0.39003149090595196,0.3560361302482872,0.35868249268106306,0.3309804537797055,0.3888944494704776,0.19492440188771257,0.1718324969282153,0.15167675878410805,0.19196368355637758,0.18085238040481616,0.20006600284631434,0.24362303302045224
16,CUNY Graduate School and University Center,0.23535883268403118,0.2126114325214403,0.22263058091171462,0.1920333934812669,0.17908334788513797,0.18215831155331408,0.23151474742067624,0.26911717401985497,0.23997205007596284,0.2514895240141171,0.2788048651967946,0.3037888179652785,0.26832297273369865,0.23863913646383011,0.24362151203846957,0.22920390463369114,0.21903225644365173,0.20806337104193662,0.2593042908088275
17,Delaware State University,0.4046640775764545,0.3584916630465159,0.34645138563211236,0.3121438883589057,0.3128087469335009,0.3464070654190351,0.31598001814457155,0.4158976300032745,0.4413285504433353,0.3407971037066576,0.32034109870496846,0.28919038283881526,0.2947842494890148,0.3010005734703505,0.3316347611491147,0.2702009517222797,0.22137321771990465,0.29720321581818715,0.23846749037553783
18,East Carolina University,0.18813311419637124,0.21109167076552926,0.1924337212075016,0.19170307638281722,0.1862648886905275,0.18317250303333318,0.1624740046578236,0.16556270697732056,0.15822875518799007,0.1665271822961881,0.1560737032015435,0.15379684659057036,0.16274447415103582,0.18445635872021776,0.15419059248502323,0.16029417802769075,0.12023953585698767,0.1329074457864568,0.1126620301640229
