Table 23,Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18,Unnamed: 20
Institution,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All institutions,"37,477,582","40,768,251","40,142,223","39,445,931","37,961,118","37,846,802","38,771,218","40,223,757","41,836,102","44,455,265"
Johns Hopkins U.a,"1,737,261","1,884,025","1,857,580","1,898,927","1,950,016","1,992,837","2,104,653","2,178,605","2,251,097","2,482,130"
"U. Washington, Seattle","829,885","948,976","909,652","928,193","909,034","906,768","946,787","952,738","989,221","992,643"
"U. Michigan, Ann Arbor","747,778","820,125","791,729","814,167","742,160","735,447","786,749","829,695","849,123","886,851"
Stanford U.,"593,016","656,114","636,348","652,472","637,730","675,930","694,693","710,698","711,443","738,957"
Columbia U. in the City of New York,"572,213","645,233","645,573","635,987","608,588","592,545","600,457","647,840","686,338","736,536"
"U. North Carolina, Chapel Hill","545,993","600,843","606,348","623,237","610,664","585,758","632,426","676,282","701,169","720,613"
U. Pennsylvania,"642,180","707,051","669,970","636,589","620,396","611,620","655,791","669,911","688,313","717,359"
Georgia Institute of Technology,"372,122","427,867","484,212","522,134","512,015","551,084","568,430","584,891","654,877","716,207"
Duke U.,"514,084","585,262","587,268","581,695","557,969","559,217","575,521","623,573","645,259","709,705"
"U. California, San Diego","580,279","636,879","656,891","632,593","599,095","603,343","604,298","641,469","635,888","698,925"
U. Marylandb,na,na,na,na,na,na,na,na,na,"696,880"
"U. Pittsburgh, Pittsburgh","594,675","662,471","637,857","622,232","582,136","561,210","580,650","617,884","649,166","677,559"
"U. California, San Francisco","514,693","570,116","559,329","566,117","544,697","535,457","602,705","606,768","669,470","671,047"
Harvard U.,"474,899","543,097","589,860","594,392","572,918","545,202","558,611","573,157","587,584","618,405"
U. Wisconsin-Madison,"545,189","593,633","580,661","555,875","548,388","533,286","567,132","570,796","574,048","608,925"
"U. California, Los Angeles","538,521","563,560","539,054","501,368","465,170","489,404","487,869","487,846","576,076","600,714"
"Pennsylvania State U., University Park and Hershey Medical Center","464,750","468,705","531,421","558,871","520,574","513,410","538,938","538,164","565,348","600,489"
Yale U.,"475,794","519,844","518,184","503,227","480,384","477,143","503,221","541,608","552,242","576,776"
U. Southern California,"408,564","453,283","443,842","437,813","431,430","421,227","409,516","450,204","501,893","543,607"
"Washington U., Saint Louis","468,642","469,490","441,406","411,299","419,122","432,228","442,335","474,446","506,006","543,508"
Cornell U.,"448,085","476,583","472,673","445,116","439,770","446,360","430,987","438,182","470,020","525,182"
Northwestern U.,"360,980","399,719","393,074","396,138","391,946","393,186","432,413","446,609","469,525","502,300"
Ohio State U.,"399,942","493,130","445,635","456,590","454,484","446,048","454,834","464,311","474,994","497,651"
"U. Minnesota, Twin Cities","426,359","489,480","485,462","494,206","489,767","476,029","469,260","456,443","464,300","494,549"
Vanderbilt U. and Vanderbilt U. Medical Center,"397,656","458,173","448,948","445,044","422,448","401,738","405,589","452,885","471,625","492,808"
Massachusetts Institute of Technology,"457,575","489,080","496,132","490,809","483,891","488,421","503,858","487,434","479,654","489,345"
Icahn School of Medicine at Mount Sinai,"302,770","296,835","271,722","277,517","300,667","329,641","342,104","367,522","398,656","443,745"
New York U.,"260,463","302,221","316,208","300,730","330,484","344,570","350,355","391,144","416,143","436,850"
Emory U.,"336,986","369,982","361,165","365,121","330,378","348,071","361,288","382,177","393,647","424,461"
U. Colorado Boulder,"292,030","323,078","330,089","319,869","314,890","353,341","371,995","374,209","391,817","412,691"
"U. Texas, Austin","350,308","355,437","354,873","372,633","332,758","346,215","357,309","396,447","405,131","407,981"
"U. Alabama, Birmingham","325,103","344,164","306,210","290,082","280,333","328,531","348,632","358,916","373,360","398,403"
U. Florida,"279,649","306,349","305,067","296,199","289,327","287,230","307,140","327,288","355,517","387,906"
"U. Illinois, Urbana-Champaign","303,852","323,454","359,989","468,798","343,275","338,178","335,056","358,905","353,710","382,206"
"U. California, Davis","332,325","362,976","358,577","347,038","330,367","326,039","339,209","342,407","360,018","374,707"
"Texas A&M U., College Station and Health Science Center","288,173","291,812","269,460","314,104","311,920","304,437","293,551","307,656","333,768","359,609"
Case Western Reserve U.,"333,689","353,470","359,000","349,487","329,320","308,434","321,214","326,643","349,177","357,549"
U. Colorado Denver and Anschutz Medical Campus,"285,126","307,395","315,685","296,932","285,017","274,345","298,960","311,720","331,945","353,021"
"U. California, Berkeley","312,789","336,191","338,759","311,809","313,390","346,262","341,807","330,339","329,464","347,601"
U. Chicago,"352,728","372,288","336,125","300,718","281,464","294,437","297,953","308,002","303,175","332,776"
Michigan State U.,"214,134","240,837","268,952","260,610","261,826","272,838","310,225","343,751","328,618","331,148"
U. Arizona,"308,157","327,565","331,578","338,790","290,370","269,959","262,989","273,567","291,767","327,025"
Boston U.,"302,411","305,476","275,319","267,194","257,017","259,736","253,475","259,832","284,888","318,511"
Baylor C. of Medicine,"284,072","295,529","268,753","285,230","264,641","256,895","267,849","292,806","300,098","309,354"
"Indiana U., Bloomington","71,208","74,143","79,727","85,852","84,592","210,899","221,801","245,155","249,243","308,586"
U. Rochester,"322,048","337,907","308,115","299,553","266,767","262,681","266,322","267,860","285,330","306,551"
U. Utah,"227,021","264,234","273,150","301,045","288,514","274,375","233,652","248,908","307,844","302,585"
Oregon Health and Science U.,"247,054","268,777","242,337","246,491","247,740","245,509","232,688","245,199","264,492","298,227"
Uniformed Services U. of the Health Sciences,"72,125","117,781","102,134","119,647","213,389","299,007","175,007","204,241","218,702","297,808"
"Rutgers, State U. New Jersey, New Brunswick","224,894","239,908","279,161","295,028","360,157","323,675","321,432","340,801","350,912","297,609"
California Institute of Technology,"328,522","342,945","326,701","282,823","279,515","272,673","265,206","277,358","280,451","287,198"
"Colorado State U., Fort Collins","211,297","236,566","252,286","219,856","212,054","219,321","232,108","239,165","268,747","284,482"
