Institution,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All institutions,"61,286,610","65,274,393","65,729,007","67,013,138","67,199,090","68,549,882","71,736,098","75,133,630","79,014,076","83,496,348"
Johns Hopkins U.a,"2,004,482","2,145,308","2,106,185","2,168,568","2,242,478","2,305,679","2,431,180","2,562,307","2,661,033","2,917,436"
"U. Michigan, Ann Arbor","1,184,445","1,279,123","1,322,711","1,375,117","1,349,262","1,369,278","1,436,448","1,530,139","1,600,869","1,675,805"
"U. California, San Francisco","935,509","995,226","1,032,673","1,042,841","1,084,031","1,126,620","1,294,261","1,409,398","1,595,732","1,595,098"
U. Pennsylvania,"836,322","886,036","847,077","828,422","828,350","864,068","1,296,429","1,374,293","1,441,931","1,506,285"
"U. Washington, Seattle","1,022,740","1,148,533","1,109,008","1,192,513","1,176,340","1,180,563","1,277,679","1,348,220","1,413,902","1,425,601"
"U. California, San Diego","943,219","1,009,378","1,073,864","1,075,554","1,067,388","1,101,466","1,087,117","1,133,454","1,265,196","1,353,763"
"U. California, Los Angeles","936,995","982,357","1,003,375","966,659","948,197","1,021,227","1,037,528","1,076,917","1,318,110","1,306,376"
U. Wisconsin-Madison,"1,029,295","1,111,642","1,169,779","1,123,501","1,108,564","1,069,077","1,157,680","1,193,413","1,205,518","1,297,331"
Harvard U.,"583,361","649,774","799,432","1,012,766","933,975","1,013,753","1,077,253","1,123,160","1,173,371","1,239,736"
Duke U.,"983,289","1,022,207","1,009,911","992,821","1,036,813","1,036,698","1,055,778","1,126,924","1,167,611","1,226,517"
Stanford U.,"839,839","907,971","903,238","945,450","959,247","1,022,551","1,066,269","1,109,708","1,157,597","1,204,116"
"U. North Carolina, Chapel Hill","755,284","869,174","884,791","973,007","989,766","966,781","1,045,338","1,102,063","1,136,158","1,153,773"
Cornell U.,"749,721","781,651","802,387","845,184","883,292","954,412","974,199","984,478","1,071,621","1,144,534"
U. Marylandb,na,na,na,na,na,na,na,na,na,"1,096,600"
"U. Pittsburgh, Pittsburgh","822,491","899,386","866,638","872,736","856,806","861,205","889,793","939,706","1,006,513","1,080,951"
Yale U.,"623,510","656,967","656,555","788,784","772,840","803,004","881,765","951,084","990,399","1,072,309"
"U. Minnesota, Twin Cities","786,074","847,419","826,173","858,378","876,870","880,618","910,181","921,681","954,683","1,013,112"
Massachusetts Institute of Technology,"677,138","723,610","824,130","900,524","908,017","930,719","946,159","952,017","964,336","1,009,466"
Columbia U. in the City of New York,"807,235","878,900","889,487","889,188","890,642","868,159","837,312","893,062","947,504","1,003,615"
U. Texas M. D. Anderson Cancer Center,"599,529","663,279","685,814","718,096","794,980","833,406","852,095","888,029","929,710","969,496"
Georgia Institute of Technology,"615,833","655,375","688,905","730,488","725,550","765,370","790,706","804,301","891,728","960,167"
"Texas A&M U., College Station and Health Science Center","689,624","705,720","693,421","820,015","854,214","866,678","892,718","905,474","922,178","952,156"
"Pennsylvania State U., University Park and Hershey Medical Center","770,449","794,846","797,679","837,880","800,773","791,031","825,561","854,815","908,708","949,679"
New York U.,"365,944","430,752","458,645","471,909","523,623","602,041","809,739","917,744","887,558","934,720"
Ohio State U.,"755,194","832,126","766,513","793,373","815,075","817,881","818,464","864,327","875,014","929,250"
U. Florida,"681,548","739,931","696,985","695,063","708,526","739,522","791,294","801,418","865,093","928,639"
U. Southern California,"592,791","603,294","623,544","645,636","687,222","691,031","702,866","764,322","891,625","909,683"
"Washington U., Saint Louis","695,974","725,039","706,410","684,847","664,752","694,069","741,115","754,462","816,139","887,088"
Northwestern U.,"575,078","618,980","631,078","639,781","645,333","656,167","713,491","751,809","805,672","857,069"
"U. California, Davis","679,915","707,896","713,292","725,734","711,721","721,077","741,892","738,347","788,832","804,282"
"U. California, Berkeley","694,049","707,945","730,348","727,002","744,343","788,505","774,255","770,822","796,505","802,931"
Emory U.,"529,453","547,316","565,766","575,943","558,600","585,210","614,527","664,888","712,417","794,928"
Vanderbilt U. and Vanderbilt U. Medical Center,"504,959","566,031","560,466","571,603","683,890","647,816","640,842","712,036","738,620","776,937"
U. Arizona,"586,647","610,565","625,365","629,466","588,088","606,219","604,464","622,200","687,066","734,270"
Michigan State U.,"431,373","454,248","507,061","515,707","526,906","558,248","613,369","694,917","715,290","725,708"
Icahn School of Medicine at Mount Sinai,"370,666","405,527","400,680","428,654","463,429","508,353","540,296","575,448","640,141","722,241"
"U. Texas, Austin","589,502","632,171","621,538","634,132","585,251","604,376","621,692","652,187","679,781","696,111"
"U. Illinois, Urbana-Champaign","515,133","545,669","583,754","743,487","621,733","639,817","625,180","642,084","652,709","677,523"
"Indiana U., Bloomington","177,520","184,096","184,486","197,897","206,039","485,076","508,766","540,421","566,907","668,157"
"Purdue U., West Lafayette","548,980","578,231","602,501","595,739","564,923","558,611","606,302","622,813","631,574","663,927"
"Rutgers, State U. New Jersey, New Brunswick","428,432","432,306","434,901","493,320","644,116","628,613","630,212","681,719","706,282","657,249"
Baylor C. of Medicine,"447,874","466,061","474,700","508,799","496,314","520,220","572,527","604,952","623,396","651,920"
Arizona State U.,"329,345","355,215","385,959","405,154","426,651","458,412","518,239","545,016","617,717","639,637"
"U. Virginia, Charlottesville","276,308","398,096","383,359","385,828","358,576","373,218","397,458","469,682","551,761","613,938"
"U. Alabama, Birmingham","489,845","503,698","453,779","440,796","428,563","516,229","537,825","561,851","588,207","607,863"
U. Utah,"379,200","414,316","430,056","494,058","486,140","518,928","350,212","380,295","552,306","601,133"
U. Colorado Denver and Anschutz Medical Campus,"389,461","417,587","431,977","409,443","411,020","410,081","443,705","480,598","525,531","542,732"
