,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,,,,,,,
1,Arizona State University Campus Immersion,49.0,52.0,45.0,49.0,45.0,43.0,38.0,33.0,32.0,32.0,29.0,30.0,28.0,28.0,27.0,27.0
2,Arizona State University Digital Immersion,2.0,32.0,3.0,0.0,,,,,,,,,,,,
3,Arizona State University-Downtown Phoenix,49.0,59.0,55.0,53.0,47.0,41.0,29.0,,,,,,,,,
4,Arkansas State University,35.0,31.0,29.0,26.0,21.0,20.0,19.0,21.0,19.0,16.0,16.0,19.0,19.0,19.0,18.0,16.0
5,Auburn University,51.0,50.0,49.0,47.0,44.0,42.0,38.0,38.0,36.0,36.0,37.0,34.0,34.0,33.0,32.0,34.0
6,Ball State University,53.0,47.0,48.0,45.0,41.0,37.0,35.0,32.0,33.0,34.0,35.0,34.0,30.0,29.0,27.0,26.0
7,Binghamton University,72.0,72.0,73.0,71.0,69.0,68.0,69.0,68.0,66.0,63.0,66.0,64.0,62.0,61.0,66.0,68.0
8,Boise State University,26.0,21.0,19.0,15.0,15.0,12.0,11.0,7.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0,9.0
9,Bowling Green State University-Main Campus,42.0,38.0,35.0,34.0,34.0,32.0,31.0,36.0,35.0,36.0,33.0,34.0,33.0,34.0,33.0,33.0
10,Central Michigan University,28.0,28.0,24.0,22.0,23.0,21.0,21.0,20.0,18.0,19.0,21.0,21.0,20.0,21.0,21.0,19.0
11,Clemson University,60.0,59.0,59.0,59.0,58.0,61.0,59.0,57.0,54.0,50.0,50.0,50.0,46.0,44.0,44.0,40.0
12,Cleveland State University,27.0,24.0,22.0,21.0,16.0,15.0,8.0,10.0,9.0,9.0,7.0,8.0,9.0,11.0,11.0,9.0
13,Colorado School of Mines,62.0,59.0,55.0,52.0,49.0,46.0,41.0,40.0,40.0,38.0,40.0,39.0,41.0,40.0,39.0,38.0
14,Colorado State University-Fort Collins,45.0,45.0,45.0,42.0,41.0,39.0,37.0,38.0,35.0,37.0,35.0,35.0,35.0,35.0,34.0,34.0
15,CUNY City College,22.0,16.0,12.0,13.0,11.0,10.0,9.0,7.0,6.0,9.0,6.0,7.0,8.0,3.0,6.0,3.0
16,CUNY Graduate School and University Center,,,,,,,,,,,,,,,,
17,Delaware State University,27.0,26.0,19.0,25.0,22.0,21.0,18.0,15.0,19.0,19.0,15.0,0.0,16.0,23.0,21.0,20.0
18,East Carolina University,41.0,40.0,37.0,34.0,35.0,33.0,31.0,33.0,33.0,29.0,30.0,27.0,26.0,28.0,25.0,26.0
19,East Tennessee State University,30.0,23.0,21.0,20.0,20.0,20.0,17.0,16.0,20.0,18.0,19.0,18.0,18.0,17.0,15.0,14.0
20,Eastern Michigan University,19.0,17.0,14.0,13.0,13.0,12.0,12.0,12.0,13.0,12.0,12.0,10.0,10.0,12.0,11.0,10.0
21,Florida Agricultural and Mechanical University,22.0,18.0,13.0,12.0,11.0,12.0,12.0,10.0,11.0,13.0,12.0,13.0,16.0,19.0,16.0,17.0
22,Florida Atlantic University,28.0,26.0,24.0,19.0,20.0,17.0,15.0,15.0,17.0,16.0,16.0,16.0,15.0,14.0,14.0,15.0
23,Florida International University,34.0,28.0,27.0,25.0,28.0,24.0,20.0,19.0,16.0,19.0,20.0,20.0,21.0,20.0,21.0,19.0
24,Florida State University,68.0,66.0,63.0,61.0,62.0,61.0,57.0,53.0,49.0,50.0,47.0,47.0,48.0,45.0,44.0,42.0
25,George Mason University,50.0,47.0,49.0,46.0,46.0,44.0,43.0,42.0,41.0,39.0,39.0,36.0,31.0,31.0,26.0,27.0
26,Georgia Institute of Technology-Main Campus,46.0,40.0,39.0,41.0,40.0,37.0,41.0,34.0,31.0,33.0,31.0,31.0,33.0,34.0,29.0,26.0
27,Georgia Southern University,25.0,25.0,26.0,26.0,24.0,27.0,26.0,23.0,20.0,18.0,17.0,17.0,17.0,13.0,12.0,12.0
28,Georgia State University,28.0,27.0,24.0,23.0,24.0,22.0,21.0,20.0,18.0,17.0,18.0,17.0,17.0,15.0,14.0,14.0
29,Idaho State University,16.0,14.0,13.0,11.0,13.0,11.0,11.0,11.0,9.0,8.0,7.0,4.0,4.0,5.0,4.0,4.0
30,Illinois State University,50.0,47.0,47.0,48.0,48.0,46.0,46.0,47.0,44.0,45.0,42.0,41.0,40.0,37.0,35.0,33.0
31,Indiana University-Bloomington,67.0,64.0,63.0,60.0,60.0,59.0,58.0,55.0,50.0,50.0,53.0,51.0,50.0,50.0,49.0,41.0
32,Indiana University-Purdue University-Indianapolis,28.0,24.0,21.0,19.0,19.0,18.0,15.0,13.0,11.0,11.0,10.0,10.0,9.0,8.0,7.0,5.0
33,Iowa State University,47.0,47.0,45.0,44.0,41.0,39.0,38.0,39.0,33.0,37.0,35.0,34.0,32.0,31.0,31.0,29.0
34,Jackson State University,20.0,24.0,19.0,19.0,19.0,19.0,17.0,21.0,20.0,20.0,16.0,20.0,17.0,14.0,15.0,18.0
35,Kansas State University,37.0,34.0,33.0,31.0,29.0,28.0,26.0,27.0,23.0,26.0,28.0,25.0,25.0,24.0,22.0,26.0
36,Kennesaw State University,16.0,14.0,13.0,14.0,15.0,,,,,,,,,,,
