,Institution Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,,,,,,,,,
1,Arizona State University Campus Immersion,86.0,88.0,88.0,87.0,86.0,86.0,86.0,84.0,80.0,84.0,84.0,81.0,80.0,78.0,79.0,79.0,77.0,77.0
2,Arizona State University Digital Immersion,,74.0,73.0,73.0,68.0,71.0,72.0,72.0,,,,,,,,,,
3,Arizona State University-Downtown Phoenix,,85.0,86.0,86.0,84.0,83.0,84.0,84.0,,,,,,74.0,0.0,,,
4,Arkansas State University,79.0,75.0,76.0,73.0,75.0,76.0,75.0,73.0,70.0,71.0,71.0,68.0,68.0,69.0,72.0,65.0,68.0,70.0
5,Auburn University,92.0,91.0,90.0,92.0,91.0,90.0,91.0,89.0,90.0,89.0,87.0,86.0,87.0,86.0,87.0,85.0,85.0,84.0
6,Ball State University,80.0,75.0,78.0,78.0,81.0,82.0,81.0,78.0,77.0,79.0,80.0,78.0,78.0,76.0,75.0,76.0,78.0,
7,Binghamton University,92.0,90.0,92.0,91.0,92.0,91.0,89.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,89.0,90.0,92.0,
8,Boise State University,78.0,79.0,79.0,80.0,78.0,76.0,75.0,71.0,71.0,69.0,69.0,69.0,66.0,64.0,63.0,61.0,63.0,59.0
9,Bowling Green State University-Main Campus,79.0,77.0,77.0,77.0,76.0,78.0,76.0,70.0,70.0,72.0,77.0,75.0,73.0,76.0,76.0,79.0,78.0,74.0
10,Central Michigan University,80.0,74.0,77.0,77.0,78.0,79.0,76.0,77.0,76.0,76.0,80.0,76.0,77.0,76.0,76.0,77.0,78.0,77.0
11,Clemson University,94.0,93.0,93.0,93.0,92.0,93.0,92.0,92.0,91.0,90.0,89.0,90.0,91.0,90.0,89.0,88.0,89.0,90.0
12,Cleveland State University,76.0,74.0,72.0,70.0,71.0,71.0,70.0,67.0,65.0,66.0,64.0,66.0,57.0,62.0,58.0,60.0,59.0,59.0
13,Colorado School of Mines,92.0,92.0,92.0,93.0,92.0,94.0,94.0,92.0,89.0,90.0,87.0,89.0,84.0,83.0,86.0,82.0,84.0,88.0
14,Colorado State University-Fort Collins,85.0,84.0,83.0,82.0,86.0,87.0,85.0,86.0,84.0,83.0,83.0,83.0,82.0,78.0,82.0,83.0,83.0,82.0
