,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,Air Force Institute of Technology-Graduate School of Engineering & Management,,,,,,,,,,,,,,,,
1,Arizona State University Campus Immersion,63.0,69.0,63.0,67.0,66.0,63.0,59.0,57.0,57.0,59.0,56.0,56.0,56.0,56.0,55.0,55.0
2,Arizona State University Digital Immersion,4.0,48.0,14.0,20.0,,,,,,,,,,,,
3,Arizona State University-Downtown Phoenix,58.0,69.0,66.0,67.0,64.0,58.0,47.0,,,,,,,,,
4,Arkansas State University,50.0,47.0,46.0,44.0,39.0,37.0,36.0,39.0,38.0,33.0,37.0,39.0,37.0,40.0,39.0,36.0
5,Auburn University,79.0,78.0,77.0,75.0,73.0,71.0,68.0,68.0,66.0,66.0,67.0,64.0,63.0,63.0,62.0,65.0
6,Ball State University,66.0,63.0,61.0,62.0,61.0,60.0,60.0,57.0,55.0,57.0,58.0,59.0,58.0,57.0,54.0,52.0
7,Binghamton University,82.0,81.0,82.0,83.0,81.0,81.0,81.0,79.0,77.0,78.0,80.0,78.0,77.0,78.0,77.0,78.0
8,Boise State University,50.0,46.0,43.0,39.0,38.0,37.0,38.0,29.0,29.0,28.0,26.0,26.0,26.0,24.0,28.0,24.0
9,Bowling Green State University-Main Campus,60.0,55.0,52.0,53.0,56.0,54.0,54.0,58.0,58.0,60.0,59.0,58.0,57.0,60.0,60.0,60.0
10,Central Michigan University,61.0,62.0,58.0,57.0,59.0,56.0,59.0,57.0,54.0,54.0,57.0,57.0,57.0,57.0,55.0,55.0
11,Clemson University,84.0,83.0,82.0,81.0,81.0,82.0,83.0,82.0,80.0,76.0,77.0,79.0,78.0,75.0,75.0,72.0
12,Cleveland State University,46.0,45.0,43.0,41.0,39.0,39.0,32.0,34.0,30.0,30.0,29.0,26.0,31.0,31.0,30.0,27.0
13,Colorado School of Mines,83.0,80.0,78.0,77.0,77.0,76.0,70.0,67.0,70.0,64.0,67.0,68.0,67.0,68.0,67.0,67.0
14,Colorado State University-Fort Collins,70.0,71.0,69.0,67.0,67.0,65.0,64.0,63.0,64.0,64.0,64.0,63.0,62.0,64.0,63.0,64.0
15,CUNY City College,56.0,55.0,50.0,47.0,44.0,44.0,42.0,42.0,40.0,39.0,35.0,37.0,36.0,30.0,35.0,31.0
16,CUNY Graduate School and University Center,,,,,,,,,,,,,,,,
17,Delaware State University,42.0,40.0,37.0,43.0,42.0,43.0,37.0,33.0,35.0,39.0,34.0,36.0,37.0,38.0,35.0,35.0
18,East Carolina University,66.0,65.0,62.0,61.0,62.0,59.0,56.0,58.0,59.0,56.0,57.0,54.0,54.0,56.0,54.0,53.0
19,East Tennessee State University,50.0,45.0,41.0,40.0,43.0,43.0,41.0,41.0,44.0,39.0,43.0,42.0,38.0,40.0,39.0,38.0
20,Eastern Michigan University,46.0,45.0,40.0,41.0,40.0,37.0,38.0,37.0,40.0,38.0,40.0,36.0,39.0,40.0,38.0,41.0
21,Florida Agricultural and Mechanical University,53.0,51.0,48.0,41.0,39.0,40.0,41.0,40.0,40.0,41.0,39.0,41.0,39.0,42.0,45.0,46.0
22,Florida Atlantic University,50.0,52.0,51.0,50.0,49.0,46.0,41.0,41.0,43.0,42.0,38.0,39.0,38.0,37.0,37.0,37.0
23,Florida International University,63.0,58.0,57.0,56.0,58.0,54.0,52.0,49.0,43.0,46.0,46.0,49.0,49.0,48.0,48.0,47.0
24,Florida State University,83.0,83.0,80.0,80.0,79.0,79.0,77.0,75.0,74.0,74.0,71.0,70.0,69.0,68.0,66.0,65.0
25,George Mason University,71.0,70.0,71.0,70.0,69.0,67.0,67.0,66.0,64.0,63.0,64.0,61.0,58.0,56.0,53.0,53.0
26,Georgia Institute of Technology-Main Campus,90.0,87.0,85.0,86.0,85.0,82.0,82.0,79.0,79.0,80.0,79.0,77.0,78.0,77.0,76.0,72.0
27,Georgia Southern University,50.0,50.0,50.0,51.0,50.0,51.0,50.0,50.0,47.0,45.0,47.0,45.0,45.0,43.0,41.0,38.0
28,Georgia State University,55.0,54.0,53.0,53.0,54.0,53.0,53.0,51.0,47.0,48.0,50.0,44.0,47.0,41.0,40.0,41.0
29,Idaho State University,34.0,32.0,29.0,28.0,30.0,30.0,31.0,31.0,26.0,26.0,30.0,16.0,20.0,27.0,21.0,21.0
30,Illinois State University,70.0,69.0,69.0,72.0,73.0,72.0,72.0,71.0,71.0,71.0,69.0,70.0,65.0,64.0,63.0,62.0
31,Indiana University-Bloomington,79.0,78.0,77.0,76.0,77.0,78.0,77.0,75.0,72.0,71.0,74.0,73.0,72.0,72.0,72.0,71.0
32,Indiana University-Purdue University-Indianapolis,51.0,48.0,45.0,47.0,45.0,44.0,42.0,38.0,33.0,34.0,34.0,32.0,31.0,27.0,26.0,22.0
33,Iowa State University,74.0,75.0,73.0,74.0,71.0,69.0,68.0,71.0,68.0,70.0,69.0,67.0,66.0,66.0,68.0,66.0
34,Jackson State University,38.0,43.0,34.0,38.0,40.0,43.0,39.0,45.0,40.0,40.0,47.0,43.0,36.0,35.0,38.0,40.0
35,Kansas State University,65.0,64.0,63.0,63.0,62.0,59.0,60.0,58.0,56.0,60.0,63.0,58.0,58.0,59.0,56.0,63.0
36,Kennesaw State University,46.0,43.0,42.0,42.0,42.0,,,,,,,,,,,
